DATE,TICKER,fret1,fret2,fret3,fret4,fret5,fret6,fret7,fret8,fret9,fret10,fret11,fret12,roe,MKTCAP,SECTOR,B_P,E_P,roc,alpha1,alpha2,alpha3,alpha4
1/31/2014,ARW,0.102179837,0.048207664,-0.043969003,0.016740088,0.046967071,-0.040721735,0.074201898,-0.110843373,0.02728094,0.027787548,-0.009411362,-0.049231301,-0.361610025,5176.109,45,2.585333,1.823323,,0.23121444,0.683647671,0.730856682,0.921359022
1/31/2014,ASH,0.016808534,0.054148564,-0.028950543,0.066252588,0.055728155,-0.037612654,0.024558051,-0.029099049,0.038136407,0.055334505,0.050065761,-0.010353635,0.01877591,7221.13,15,0.924515,0.926619,0.087500119,0.228581194,0.390371397,0.472697363,0.47217152
1/31/2014,ASNA,-0.025053305,-0.055221432,-0.00462963,-0.029360465,0.02425876,0.082814446,0.126860623,0.152444076,-0.042415528,,,,-0.309165632,3019.177,25,1.216453,0.520131,-0.242534402,-0.118312033,0.094567232,0.10548289,0.279563273
1/31/2014,ATHN,0.314996948,-0.173466756,-0.228407389,0.026447752,-0.014025687,-0.005833933,0.161093248,-0.088271947,-0.069785101,-0.04244898,0.242114237,-0.041111874,-0.943813564,5479.658,35,-1.186402,-2.18351,,-0.243623781,-0.451244093,-1.56366066,-1.314384168
1/31/2014,ATI,0.010814249,0.185651353,0.093418259,-0.00315534,0.098125152,-0.16518847,0.120053121,-0.12022765,-0.114555256,0.025570776,0.03205699,-0.179466107,-0.622487094,3394.959,15,1.70312,,,-0.247077826,0.050968202,-0.311243547,0.114536493
1/31/2014,ATML,-0.035885167,0.037220844,-0.070574163,0.078507079,0.118138425,-0.124866596,0.080487805,-0.088036117,-0.081683168,0.066037736,0.061314791,-0.007741733,-1.155972045,3560.258,45,-0.235298,-1.48612,-1.033279536,-0.86840074,-0.909577894,-1.321044217,-1.008339625
1/31/2014,ATO,-0.039783378,0.022342733,0.08296202,-0.018416928,0.065868264,-0.095131086,0.046357616,-0.056566456,0.111111111,0.013207547,0.037988827,0.020990822,-0.359254853,4366.841,55,0.028278,-0.122116,-0.358149139,0.185009633,0.189958259,-0.240685462,-0.203086978
1/31/2014,ATR,0.037147335,-0.001057881,0.019969743,-0.012310887,0.006307253,-0.088195792,0.049918167,-0.053780203,0.025370676,0.048361183,0.024367816,-0.051640823,-0.217249595,4201.437,15,-0.174277,-0.611407,-0.054403818,-0.136404378,-0.166902788,-0.414328343,-0.305045727
1/31/2014,ATU,,,,,,,,,,,,,-0.81994184,2490.263,20,0.599074,0.289709,,-0.471400086,-0.366562208,-0.265116528,-0.187775328
1/31/2014,ATVI,0.129597198,0.056330749,-0.021037182,0.03848076,0.073147257,0.003587444,0.051831993,-0.11682243,-0.04040404,0.085213033,-0.069284065,0.036975203,-0.274603812,11912.76,45,1.228277,0.486508,,-0.182574301,0.03237425,0.105952137,0.291394474
